"year","parameter","site_no","val"
"2017","00010","01310740",13.4223756906077
"2017","00010","01311143",13.4943925233645
"2017","00010","01311875",13.5501385041551
"2017","00300","01304057",8.7931129476584
"2017","00300","01304200",9.14904458598726
"2017","00300","01304562",7.37458193979933
"2017","00300","01310740",8.86430868167202
"2017","00300","01311143",8.89655172413793
"2017","62361","01304562",11.3220447284345
"2017","62361","01310740",9.94570637119114
"2017","62619","01302250",3.91778082191781
"2017","62619","01302600",2.14378082191781
"2017","62619","01302845",2.01108635097493
"2017","62619","01304057",2.04953424657534
"2017","62619","01304200",0.918983516483517
"2017","62619","01304562",0.894739726027397
"2017","62619","01304746",1.08687671232877
"2017","62619","01304920",1.2392602739726
"2017","62619","01305575",1.32634980988593
"2017","62619","01309225",1.43945205479452
"2017","62619","01310521",1.31690410958904
"2017","62619","01310740",1.27043835616438
"2017","62619","01311143",1.38016438356164
"2017","62619","01311145",1.06819178082192
"2017","62619","01311850",1.09386301369863
"2017","62619","01311875",1.12416438356164
"2017","63680","01304057",5.74072022160665
"2017","63680","01304200",13.1006472491909
"2017","63680","01304562",11.6601398601399
"2017","63680","01310740",5.19718309859155
"2017","63680","01311143",3.40191693290735
"2017","63680","01311875",2.88631921824104
"2017","90860","01302250",26.5178977272727
"2017","90860","01302845",25.3996978851964
"2017","90860","01304057",27.7195054945055
"2017","90860","01304200",29.5842271293375
"2017","90860","01304562",26.3537267080745
"2017","90860","01310740",31.7028571428571
"2017","90860","01311143",29.7434782608696
"2017","90860","01311875",29.1364341085271
"2018","00010","01302250",13.7518181818182
"2018","00010","01302845",12.7780821917808
"2018","00010","01304200",13.2198275862069
"2018","00010","01304562",13.8558208955224
"2018","00010","01306402",13.6904109589041
"2018","00010","01310740",12.7693693693694
"2018","00010","01311143",13.7203438395415
"2018","00010","01311875",13.3261838440111
"2018","00300","01304200",8.92364672364672
"2018","00300","01304562",8.16077844311377
"2018","00300","01310740",8.99277108433735
"2018","00300","01311143",8.76991404011461
"2018","62361","01304562",25.7015060240964
"2018","62361","01310740",11.5743202416918
"2018","62619","01302250",3.9386943620178
"2018","62619","01302600",2.11893518518518
"2018","62619","01302845",1.85632876712329
"2018","62619","01304200",0.95972602739726
"2018","62619","01304562",0.89972602739726
"2018","62619","01304746",1.10934246575342
"2018","62619","01304920",1.25128767123288
"2018","62619","01305575",1.27413698630137
